[2024-11-02 17:25:04] INFO: Trying to assign LLOD 16274 (oilderricklod02) to HLOD 3427 (derrick01), which already has LLOD 16273 (oilderricklod01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3290 (lod_refchimny01) to HLOD 3256 (refchimny01), which already has LLOD 3290 (lod_refchimny01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3289 (lod_refthinchim1) to HLOD 3258 (refthinchim1), which already has LLOD 3289 (lod_refthinchim1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3289 (lod_refthinchim1) to HLOD 3258 (refthinchim1), which already has LLOD 3289 (lod_refthinchim1) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3288 (lod_refinerybox1) to HLOD 3257 (refinerybox1), which already has LLOD 3288 (lod_refinerybox1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3683 (lod_indust1las) to HLOD 3636 (indust1las_las), which already has LLOD 3683 (lod_indust1las) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3289 (lod_refthinchim1) to HLOD 3258 (refthinchim1), which already has LLOD 3289 (lod_refthinchim1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3332 (cxrf_lodwhbrig) to HLOD 3331 (cxrf_whitebrig), which already has LLOD 3332 (cxrf_lodwhbrig) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3332 (cxrf_lodwhbrig) to HLOD 3331 (cxrf_whitebrig), which already has LLOD 3332 (cxrf_lodwhbrig) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3333 (cxrf_lodbriglg) to HLOD 3330 (cxrf_brigleg), which already has LLOD 3333 (cxrf_lodbriglg) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3333 (cxrf_lodbriglg) to HLOD 3330 (cxrf_brigleg), which already has LLOD 3333 (cxrf_lodbriglg) - countn2  [DUP x5]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3332 (cxrf_lodwhbrig) to HLOD 3331 (cxrf_whitebrig), which already has LLOD 3332 (cxrf_lodwhbrig) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3333 (cxrf_lodbriglg) to HLOD 3330 (cxrf_brigleg), which already has LLOD 3333 (cxrf_lodbriglg) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3333 (cxrf_lodbriglg) to HLOD 3330 (cxrf_brigleg), which already has LLOD 3333 (cxrf_lodbriglg) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3347 (lod_airstrm_med_) to HLOD 3175 (sm_airstrm_med_), which already has LLOD 3347 (lod_airstrm_med_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3347 (lod_airstrm_med_) to HLOD 3175 (sm_airstrm_med_), which already has LLOD 3347 (lod_airstrm_med_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3342 (lodtrail_lg4_01) to HLOD 3173 (trailer_large4_01), which already has LLOD 3342 (lodtrail_lg4_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3338 (pylon_lodbig1_) to HLOD 3244 (pylon_big1_), which already has LLOD 3338 (pylon_lodbig1_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3338 (pylon_lodbig1_) to HLOD 3244 (pylon_big1_), which already has LLOD 3338 (pylon_lodbig1_) - countn2  [DUP x24]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3371 (lod_d_bighus1_) to HLOD 3305 (des_bighus01), which already has LLOD 3371 (lod_d_bighus1_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3371 (lod_d_bighus1_) to HLOD 3305 (des_bighus01), which already has LLOD 3371 (lod_d_bighus1_) - countn2  [DUP x4]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3373 (lod_d_bighus3_) to HLOD 3303 (des_bighus03), which already has LLOD 3373 (lod_d_bighus3_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3373 (lod_d_bighus3_) to HLOD 3303 (des_bighus03), which already has LLOD 3373 (lod_d_bighus3_) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3366 (lod_mil_hangar1_) to HLOD 3268 (mil_hangar1_), which already has LLOD 3366 (lod_mil_hangar1_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3366 (lod_mil_hangar1_) to HLOD 3268 (mil_hangar1_), which already has LLOD 3366 (lod_mil_hangar1_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3368 (lod_bnyd_blk2_) to HLOD 3270 (bonyrd_block2_), which already has LLOD 3368 (lod_bnyd_blk2_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3368 (lod_bnyd_blk2_) to HLOD 3270 (bonyrd_block2_), which already has LLOD 3368 (lod_bnyd_blk2_) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3369 (lod_bnyd_blk1_) to HLOD 3269 (bonyrd_block1_), which already has LLOD 3369 (lod_bnyd_blk1_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3369 (lod_bnyd_blk1_) to HLOD 3269 (bonyrd_block1_), which already has LLOD 3369 (lod_bnyd_blk1_) - countn2  [DUP x6]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3367 (lod_bnyd_blk3_) to HLOD 3271 (bonyrd_block3_), which already has LLOD 3367 (lod_bnyd_blk3_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3367 (lod_bnyd_blk3_) to HLOD 3271 (bonyrd_block3_), which already has LLOD 3367 (lod_bnyd_blk3_) - countn2  [DUP x7]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3296 (lod_oiltank) to HLOD 3287 (cxrf_oiltank), which already has LLOD 3296 (lod_oiltank) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3295 (lod_watertwr) to HLOD 3286 (cxrf_watertwr), which already has LLOD 3295 (lod_watertwr) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3295 (lod_watertwr) to HLOD 3286 (cxrf_watertwr), which already has LLOD 3295 (lod_watertwr) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3382 (cxrf_lod_rdrch) to HLOD 3381 (cxrf_redarch), which already has LLOD 3382 (cxrf_lod_rdrch) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3382 (cxrf_lod_rdrch) to HLOD 3381 (cxrf_redarch), which already has LLOD 3382 (cxrf_lod_rdrch) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3372 (lod_d_bighus2_) to HLOD 3304 (des_bighus02), which already has LLOD 3372 (lod_d_bighus2_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3372 (lod_d_bighus2_) to HLOD 3303 (des_bighus03), which already has LLOD 3373 (lod_d_bighus3_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3372 (lod_d_bighus2_) to HLOD 3304 (des_bighus02), which already has LLOD 3372 (lod_d_bighus2_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3372 (lod_d_bighus2_) to HLOD 3304 (des_bighus02), which already has LLOD 3372 (lod_d_bighus2_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3372 (lod_d_bighus2_) to HLOD 3304 (des_bighus02), which already has LLOD 3372 (lod_d_bighus2_) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3428 (oilplodbitbase) to HLOD 3426 (nt_noddonkbase), which already has LLOD 3428 (oilplodbitbase) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3428 (oilplodbitbase) to HLOD 3426 (nt_noddonkbase), which already has LLOD 3428 (oilplodbitbase) - countn2  [DUP x8]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3424 (lod_refcondens1) to HLOD 3259 (refcondens1), which already has LLOD 3424 (lod_refcondens1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3424 (lod_refcondens1) to HLOD 3259 (refcondens1), which already has LLOD 3424 (lod_refcondens1) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3344 (lodtrail5_01) to HLOD 3171 (trailer5_01), which already has LLOD 3344 (lodtrail5_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3344 (lodtrail5_01) to HLOD 3171 (trailer5_01), which already has LLOD 3344 (lodtrail5_01) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3295 (lod_watertwr) to HLOD 3286 (cxrf_watertwr), which already has LLOD 3295 (lod_watertwr) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3347 (lod_airstrm_med_) to HLOD 3175 (sm_airstrm_med_), which already has LLOD 3347 (lod_airstrm_med_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3347 (lod_airstrm_med_) to HLOD 3175 (sm_airstrm_med_), which already has LLOD 3347 (lod_airstrm_med_) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3299 (lod_conhoos3) to HLOD 3283 (conhoos3), which already has LLOD 3299 (lod_conhoos3) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3301 (lod_conhoos5) to HLOD 3284 (conhoos5), which already has LLOD 3301 (lod_conhoos5) - countn2  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3300 (lod_conhoos4) to HLOD 3285 (conhoos4), which already has LLOD 3300 (lod_conhoos4) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3297 (lod_conhoos1) to HLOD 3242 (conhoos1), which already has LLOD 3297 (lod_conhoos1) - countn2  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3298 (lod_conhoos2) to HLOD 3241 (conhoos2), which already has LLOD 3298 (lod_conhoos2) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3339 (lodtrail_lg2_01) to HLOD 3169 (trailer_large2_01), which already has LLOD 3339 (lodtrail_lg2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3341 (lodtrail_lg3_01) to HLOD 3170 (trailer_large3_01), which already has LLOD 3341 (lodtrail_lg3_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3343 (lodtrail2_01) to HLOD 3168 (trailer2_01), which already has LLOD 3343 (lodtrail2_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3345 (lodtrail6_01) to HLOD 3172 (trailer6_01), which already has LLOD 3345 (lodtrail6_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3344 (lodtrail5_01) to HLOD 3171 (trailer5_01), which already has LLOD 3344 (lodtrail5_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3344 (lodtrail5_01) to HLOD 3171 (trailer5_01), which already has LLOD 3344 (lodtrail5_01) - countn2
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3376 (lodce_dblbarn01) to HLOD 3375 (ce_dblbarn01), which already has LLOD 3376 (lodce_dblbarn01) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3376 (lodce_dblbarn01) to HLOD 3375 (ce_dblbarn01), which already has LLOD 3376 (lodce_dblbarn01) - countrye  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3377 (lodce_beerpile01) to HLOD 3378 (ce_beerpile01), which already has LLOD 3377 (lodce_beerpile01) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3377 (lodce_beerpile01) to HLOD 3378 (ce_beerpile01), which already has LLOD 3377 (lodce_beerpile01) - countrye  [DUP x6]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3405 (lodsw_logcover) to HLOD 3403 (sw_logcover), which already has LLOD 3405 (lodsw_logcover) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3405 (lodsw_logcover) to HLOD 3403 (sw_logcover), which already has LLOD 3405 (lodsw_logcover) - countrye  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3404 (lodsw_tempbarn01) to HLOD 3402 (sw_tempbarn01), which already has LLOD 3404 (lodsw_tempbarn01) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3404 (lodsw_tempbarn01) to HLOD 3402 (sw_tempbarn01), which already has LLOD 3404 (lodsw_tempbarn01) - countrye  [DUP x3]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 785 (lod_vbg_fir_co) to HLOD 791 (vbg_fir_copse), which already has LLOD 785 (lod_vbg_fir_co) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 785 (lod_vbg_fir_co) to HLOD 791 (vbg_fir_copse), which already has LLOD 785 (lod_vbg_fir_co) - countrye  [DUP x68]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3413 (lodcunterb07) to HLOD 3412 (cunterb03), which already has LLOD 3413 (lodcunterb07) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3413 (lodcunterb07) to HLOD 3412 (cunterb03), which already has LLOD 3413 (lodcunterb07) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3420 (lodce_logbarn02) to HLOD 3419 (ce_logbarn02), which already has LLOD 3420 (lodce_logbarn02) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3420 (lodce_logbarn02) to HLOD 3419 (ce_logbarn02), which already has LLOD 3420 (lodce_logbarn02) - countrye  [DUP x2]
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3423 (lodce_loghut02) to HLOD 3415 (ce_loghut1), which already has LLOD 3423 (lodce_loghut02) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3421 (lodce_oldhut1) to HLOD 3414 (ce_oldhut1), which already has LLOD 3421 (lodce_oldhut1) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3422 (lodce_oldhut02) to HLOD 3418 (ce_oldhut02), which already has LLOD 3422 (lodce_oldhut02) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3421 (lodce_oldhut1) to HLOD 3414 (ce_oldhut1), which already has LLOD 3421 (lodce_oldhut1) - countrye
[2024-11-02 17:25:04] INFO: Trying to assign LLOD 3326 (lodswbigburb01) to HLOD 3317 (sw_bigburb_01), which already has LLOD 3326 (lodswbigburb01) - countrye
